=== LUKE — Speaker Metadata Coder ===,,,,,,,,,,,,,,,,
"Primary role: SPEAKER METADATA for all 50 videos (speaker_name, speaker_type, speaker_gender)",,,,,,,,,,,,,,,,
"No secondary role — metadata does not require IRR (factual lookup, not interpretive judgment)",,,,,,,,,,,,,,,,
Your assigned videos for SEGMENTATION: V26 V27 V28 V29 V30 V31 V32 V36,,,,,,,,,,,,,,,,
[SEG] = segment boundaries already identified (but NOT split into TCUs yet — still your job to split),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
STEP-BY-STEP FOR YOUR ASSIGNED VIDEOS:,,,,,,,,,,,,,,,,
1. Open transcript at the ai_mention_timestamp,,,,,,,,,,,,,,,,
"2. Scroll backward to find segment_start, forward to find segment_end",,,,,,,,,,,,,,,,
3. Read transcript between boundaries → identify TCU breaks,,,,,,,,,,,,,,,,
"4. For each TCU: fill tcu_id, tcu_transcript, tcu_start, tcu_end",,,,,,,,,,,,,,,,
"5. IMMEDIATELY fill speaker_name, speaker_type, speaker_gender from meeting records/transcript",,,,,,,,,,,,,,,,
6. DELETE the original keyword-hit rows for that video once all TCUs are added,,,,,,,,,,,,,,,,
7. Post your updated file to the shared folder by end of day,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FOR OTHER VIDEOS (not your assigned ones):,,,,,,,,,,,,,,,,
"As other students post their TCU rows, fill in speaker_name, speaker_type,",,,,,,,,,,,,,,,,
speaker_gender for each new TCU row using meeting records and transcript context.,,,,,,,,,,,,,,,,
"When you finish your part, you can help James for TCU identification. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
METADATA DEFINITIONS:,,,,,,,,,,,,,,,,
speaker_role,,,,,,,,,,,,,,,,
"speaker_gender: female / male / unknown (perceived binary, from name/appearance/pronouns only)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
original_row_number,video_url,meeting_date,ai_mention_timestamp,segment_start,segment_end,segment_transcript,tcu_id,tcu_transcript,tcu_start,tcu_end,speaker_role,speaker_gender,stance,vocal_tone,facial_expression,coder_notes
61,https://youtu.be/esNG0Dm24ac,25-Oct-24,1:30:33,1:27:04,1:31:45,"And then the other question related to Gavi, either ...that is, you know, I feel like every other day I read an article about the Godfather of AI, saying we got to be careful, we should hit the brakes and slow down. And all this, and I can't help but think as we talk about these topics, Terminator and, you know, the pre-crime unit from these movie that I saw right here. All these things come to mind, right? And so, does Gavi, I, given that it's a broad coalition, I saw the map, the United States, it seems like it's all over the place, maybe, at East Coast, West Coast, with some other sprinkled in between. But are you all, or are we all taking a position as it relates to the cautious nature that some of these folks are preaching, that we should take as it relates to the advancement of AI? I will give you my personal opinion, and I'll lead the team chime in if they want. If you look at the technologies introduced in the last 30 years, and this is actually one of my slides when I showed all the advancements in AI, and if you look at all the advancements and what these technologies brought to us, including the iPhone and social media and everything, and you multiply that by 10,000... We get close to the potential benefit of AI. At the same time, if you take all the concerns that we had because of social media, cybersecurity, privacy, and everything that we learned in the last 25 years, and you multiply that by the same factor, 10,000... We have the same concern about the risk. So it is benefit and risk, and my position is, I want to make sure that we are at the leading edge of understanding and driving that technology, but at the same time, we are as fearful as possible of that technology. To make sure that we are not implementing something that is going to come back and bite us. And one of the things that we discuss in the coalition, if one of us get a black eye because of AI, all of us will be tainted by the same color. After all, all of us are government employees, all of us are government agencies, so when something happens in New York related to chat, and I try to bring something to counsel to approve a chat, I am going to be tainted question by the mishaps of some other agencies. And that is really one of the beautiful things that we have with the coalition. That we are helping each other out to figure out what is going on, and how can we be in a better position to defend and identify potential risks as a government entity versus being fragmented into cities, counties, and states, because all of us are faced with the same challenge. And on that same line is Gove AI, because I think we have sort of lifted it up as we are doing all these wonderful things, which I am glad we are taking the lead, and bringing together all of these different government agencies. But is there a policy position or a statement of policies or whatnot that Gove AI, that the coalition has taken as a release to federal legislation looking at how AI is progressing and just the thoughtfulness of it and the policies? We caught the attention of the White House Office of Technology, the Governance Office, the Homeland Security, and they are really interested in the work that we are doing, especially that we are capable or able to attract great minds throughout the nation that are willing to volunteer their time and energy to work with us. So there is a lot of conversation happening where they are trying to understand from us what we are seeing as risks so they can implement certain policies at the federal and national levels, but they cannot move as fast as we can, just getting something passed. The federal level might take years and months, or what we are doing is really implementing things in days, weeks and months. So our template AI policy was established in four months, and when we got 150 agencies drafting that and agreeing that this is something that the olcan work would. If you try to do something at the federal level, instead of four months, it is going to be four years or even more. So that is why I think the balance between what the federal level is doing and what we are doing is very interesting to them that they see that a lot of what we are seeing can influence their policies and a lot of things that they are seeing can influence what we are trying to do in a quick way.",,,,,,,,,,
62,https://youtu.be/Ni0EByhwhAE,16-Oct-24,0:07:16,NA,NA,NA,,,,,,,,,,
63,https://youtu.be/H6So42EWd-0,24-Sep-24,0:41:52,NA,NA,NA,,,,,,,,,,
64,https://youtu.be/l0oJr5XUmWk,17-Sep-24,0:47:03,NA,NA,NA,,,,,,,,,,
65,https://youtu.be/D-Tqo6O2m-E,13-Sep-24,1:23:29,NA,NA,NA,,,,,,,,,,
66,https://youtu.be/FF-6F9muZnc,23-Jul-24,0:58:32,NA,NA,NA,,,,,,,,,,
67,https://youtu.be/gNPQjR4ANDo,23-Jul-24,0:13:03,NA,NA,NA,,,,,,,,,,
68,https://youtu.be/gNPQjR4ANDo,23-Jul-24,0:15:14,NA,NA,NA,,,,,,,,,,
69,https://youtu.be/gNPQjR4ANDo,23-Jul-24,0:15:24,NA,NA,NA,,,,,,,,,,
80,https://youtu.be/WqGVtAjTeYM,15-Apr-24,1:50:12,1:49:37,1:51:32,"Good evening, members of council. Thank you for allowing me the time tonight to present the Department of Information Technologies FY25 budget. Before I get started, I just want to thank my wonderful staff for all the exceptional work that they do. And numerous hours that they work around the clock to make sure that the city is operational and secure and available to our employees constituents. So as always, we start off with an overview of the IT department. I did want to say before I started that I, thanks to our friends at Microsoft, I was able to get a little bit of a preview of Microsoft co-pilot, which is Microsoft's version of Generative AI similar to chat GPT. And so this presentation was completed with, you know, enhanced and completed with AI technologies. So this may be one of the first budget proposals. Let me budget a question, Director May is AI going to be giving the presentation. Yeah, yeah, but I am really here. I did. I've seen different things that are, is it going to be AI voice or? No, no, it's just AI was utilized to generate the person. You know in a future, maybe budget hearings will be. Possibly possibly. I was second. But if I say they're wrong tonight, then it's AI's fault not mine. Okay. So the IT department is composed of six units, which are listed there. Next slide please. So this is our mission statement. These are our core values. And these are strategic priorities for FY25.",,,,,,,,,,